COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
5499,F,local,local,S,public,0,65,1,0,65,65,1,3.4388096,1.0,0,2.8294048,14.438,16.227,14.675,16.282,14.392,14.392,15.2453785,3.8533602,220,0,22
40222,M,foreign,foreign,S,private,1,12,0,0,12,13,1,4.0,1.3333334,0,0.0,13.060833,14.553333,13.113334,14.7025,14.25,14.25,14.007246,0.0,43,0,17
36154,M,foreign,local,S,public,4,6,0,40,9,10,1,3.4583333,3.0,0,0.0,11.75625,14.64375,11.44375,14.3075,15.46,15.46,11.74284,0.0,19,0,19
38722,M,local,local,S,private,1,25,0,0,26,26,1,3.5059524,1.0,0,2.75,13.925,16.406876,13.978125,16.300625,15.18,15.18,15.060077,3.035445,87,0,25
35560,M,local,local,S,private,5,32,0,0,32,37,1,3.4126985,1.4,0,1.468254,12.445833,15.26375,12.37125,15.215,15.12,15.12,13.795168,1.7700053,108,0,19
40391,M,local,local,S,private,0,15,0,0,13,15,1,3.517857,1.0,0,0.0,14.79625,16.88375,14.87625,16.57875,15.845,17.695,16.070873,0.0,53,0,17
10726,F,local,local,S,private,14,61,0,0,61,75,1,4.0891533,1.8,0,5.7335978,12.699583,14.03375,12.545139,13.994166,14.205,14.41,13.137279,10.596097,218,0,24
17279,M,foreign,local,S,private,40,48,0,0,52,88,1,3.7027056,3.2857144,3,9.342965,9.263295,11.730454,9.202386,11.654431,13.9225,14.114166,10.13102,11.537953,163,0,34
40118,F,local,local,S,private,0,13,0,0,13,13,1,3.4761906,1.0,0,0.0,16.13,17.54625,16.0975,16.91375,17.945,19.075,16.460762,0.0,45,0,18
32589,M,local,local,S,public,3,53,1,0,53,56,1,3.5010822,1.3333334,0,1.439394,14.240909,15.772727,14.203182,15.673182,17.2,17.2,14.528589,1.7094792,178,0,21
